Langue,URL ,Mot-clé principal,Page Title,max 82,MetaDescriptions,max 160,H1 title
FR,https://elementdebase.com/fr/product-category/sectionals/,"TEMPLATE CATÉGORIE SECTIONNELS :
-sectionnels
",Sectionnel (NOM PRODUIT) en ligne | Élément de base,51,"Découvrez le sectionnel (NOM PRODUIT) sur Élément de base et ses caractéristiques, matériaux et dimensions. Sélectionnez votre couleur et commandez en ligne.",157,Sectionnel (NOM PRODUIT) en ligne 
FR,https://elementdebase.com/fr/product-category/armchairs/,fauteuil,Fauteils design en ligne | Élément de base,42,Découvrez les collections de fauteuils en vente chez Élément de base. Choisissez le modèle et la couleur qui convient à votre décor et passez commande en ligne.,160,Fauteuils design 
FR,https://elementdebase.com/fr/product-category/modular/,,Fauteuils modulaires design en ligne | Élément de base,54,Découvrez tous les fauteuils modulaires faits à la main en vente chez Élément de base. Choisissez votre couleur et modèle et passez commande en ligne.,150,Fauteuils modulaires design en ligne 
FR,https://elementdebase.com/fr/product-category/side-tables/,table d'appoint,Tables d'appoint en ligne | Élément de base,43,Commandez l'une des tables d'appoint en vente chez Élément de base. Découvrez toutes nos collections avec les couleurs disponibles et commandez en ligne.,153,Tables d'appoint en ligne 
FR,https://elementdebase.com/fr/product-category/accessories/accessories-rugs/,tapis montreal,Tapis design conçus à Montréal en ligne | Élément de base,57,Découvrez la collection de tapis design conçus à Montréal en vente sur Élément de base. Choisissez la couleur qui convient à votre décor et commandez en ligne.,159,Tapis design conçus à Montréal en ligne 
FR,https://elementdebase.com/fr/product-category/accessories/accessories-pillows/,coussins,Coussins design conçus à Montréal | Élément de base,51,Commandez l'une des collections de coussins en vente chez Élément de base. Découvrez tous nos produits avec les couleurs disponibles et commandez en ligne.,155,Coussins design conçus à Montréal 
FR,https://elementdebase.com/fr/product-category/accessories/,,Accessoires de décoration intérieure en ligne | Élément de base,63,Découvrez tous les accessoires de décoration conçus à Montréal en vente chez Élément de base. Choisissez votre couleur et modèle et passez commande en ligne.,157,Accessoires de décoration intérieure en ligne 
FR,https://elementdebase.com/fr/product-category/slipcovers/,housse sofa,Housses de sofa en ligne | Élément de base,42,Commandez une nouvelle housse de sofa chez Élément de base. Choisissez le modèle et la couleur qui convient à votre canapé et commandez en ligne.,145,Housses de sofa en ligne 
FR,https://elementdebase.com/shop/,,Meubles et accessoires de décoration en ligne | Élément de base,63,Découvrez tous les meubles et accessoires design en vente chez Élément de base Montréal. Choisissez votre couleur et modèle et passez commande en ligne.,152,Meubles et accessoires de décoration en ligne 
FR,https://elementdebase.com/product/stripe_3stxxx09440298/,TEMPLATE PRODUITS,(NOM PRODUIT ET MODÈLE) en ligne | Élément de base,50,"Découvrez le (NOM PRODUIT ET MODÈLE) sur Élément de base avec ses caractéristiques, matériaux et dimensions. Sélectionnez votre couleur et commandez en ligne.",158,(NOM PRODUIT ET MODÈLE) en ligne 
